Model,num_rows,num_cols,acc,std
LR,5,-3,0.691,0.014619600977206347
LR,10,-3,0.794,0.012795613612786522
LR,15,-3,0.819,0.012181436179178025
CatBoost,5,-3,0.694,0.0145800060554369
CatBoost,10,-3,0.776,0.013190830072364589
CatBoost,15,-3,0.799,0.012679107214617274
R_Forest,5,-3,0.663,0.01495508791865346
R_Forest,10,-3,0.774,0.013232501619085452
R_Forest,15,-3,0.806,0.012510816141264348
KNN,5,-3,0.716,0.014267009061031241
KNN,10,-3,0.792,0.01284137457209706
KNN,15,-3,0.799,0.012679107214617274
TabNet,5,-3,0.582,0.015605111967541902
TabNet,10,-3,0.639,0.015195720118175047
TabNet,15,-3,0.703,0.01445683229480096
FTTransformer,5,-3,0.728,0.01407885699246264
FTTransformer,10,-3,0.779,0.013127502859696178
FTTransformer,15,-3,0.801,0.01263164908309911
