CatBoost,10,-3,0.551,0.015736792768752048
CatBoost,15,-3,0.589,0.015566673418599151
CatBoost,3,-3,0.534,0.015782683329937694
CatBoost,5,-3,0.538,0.015773547629015002
FTTransformer,10,-3,0.547,0.015749255189977687
FTTransformer,15,-3,0.589,0.015566673418599151
FTTransformer,3,-3,0.518,0.01580904569940659
FTTransformer,5,-3,0.534,0.015782683329937694
KNN,10,-3,0.572,0.015654426245029267
KNN,15,-3,0.62,0.015356947477797658
KNN,3,-3,0.544,0.01575792855397918
KNN,5,-3,0.544,0.01575792855397918
LR,10,-3,0.567,0.015676630912181255
LR,15,-3,0.599,0.015506109745498368
LR,3,-3,0.521,0.015805341148131185
LR,5,-3,0.536,0.015778243024904673
Model,num_rows,num_cols,acc,std
R_Forest,10,-3,0.54,0.0157685969143944
R_Forest,15,-3,0.586,0.01558354410417755
R_Forest,3,-3,0.521,0.01580534114813119
R_Forest,5,-3,0.527,0.01579621855130273
STUNT,10,-3,0.578,0.015625625112620622
STUNT,15,-3,0.601,0.01549319331316301
STUNT,3,-3,0.533,0.015784807891138876
STUNT,5,-3,0.55,0.015740004693383918
TabNet,10,-3,0.537,0.015775927227262426
TabNet,15,-3,0.538,0.015773547629015002
TabNet,3,-3,0.495,0.01581850894443674
TabNet,5,-3,0.533,0.015784807891138876
SVC,3,-3,0.531,0.015788865959538965
SVC,5,-3,0.536,0.015778243024904673
SVC,10,-3,0.573,0.01564978964446219
SVC,15,-3,0.577,0.015630589090476255
